dataset,strategy,variant,params,total_return,cagr,sharpe,max_drawdown,trades_count,avg_trade,median_trade,exposure
binance_BTCUSDT_1d,ema_trend,ema_18_90,"fast=18, slow=90",1.4202374633486716,0.23039287113088935,0.7818259333404222,-0.3320229002363546,8.0,0.17118414418795508,0.04525080098643752,0.5482005141388174
binance_BTCUSDT_1d,ema_trend,ema_20_100,"fast=20, slow=100",1.4133550818280058,0.22957123217013886,0.7794645669706814,-0.32759754969838406,8.0,0.17333371258342534,0.04455301119866795,0.5482005141388174
binance_BTCUSDT_1d,ema_trend,ema_22_110,"fast=22, slow=110",1.4316637850257874,0.2317530383689308,0.7729486644703049,-0.4131304210204263,8.0,0.16153983323887688,0.06900847242453734,0.5546272493573264
nobitex_BTCIRT_1d,atr_breakout,atr_18_1.4,"window=18, atr_multiple=1.4",2.5298217640848577,0.6995495420935045,1.8694084113867138,-0.22777468773439635,20.0,0.0823645951800491,0.0025882000872049504,0.45622119815668205
nobitex_BTCIRT_1d,atr_breakout,atr_20_1.5,"window=20, atr_multiple=1.5",2.7765786171537568,0.7485333535567724,1.9617233591793366,-0.24062164721845292,17.0,0.10027342731516806,0.018848452925543047,0.44930875576036866
nobitex_BTCIRT_1d,atr_breakout,atr_22_1.6,"window=22, atr_multiple=1.6",2.467773959961259,0.6869223278352525,1.8473629134612248,-0.21085843481541067,16.0,0.1008719868551137,0.03628253858001618,0.4412442396313364
nobitex_BTCIRT_1d,donchian_breakout,donchian_50,window=50,2.343043587628914,0.661136612802441,1.5174157318844572,-0.30608691893498097,4.0,0.5212092230488541,0.090228608553092,0.6290322580645161
nobitex_BTCIRT_1d,donchian_breakout,donchian_55,window=55,2.16012946080662,0.6222932231229901,1.4564644639118296,-0.31412126133666196,4.0,0.48624983238858727,0.090228608553092,0.6232718894009217
nobitex_BTCIRT_1d,donchian_breakout,donchian_60,window=60,1.2520018950218392,0.406881753709156,1.0930420351568326,-0.43243575164785286,4.0,0.3519724430938632,0.03691119367187928,0.6751152073732719
nobitex_BTCIRT_1d,ema_trend,ema_18_90,"fast=18, slow=90",2.00225626871273,0.5877059909959574,1.3451513654539027,-0.3307949802400305,8.0,0.18917331057489178,0.04442326168327615,0.7269585253456221
nobitex_BTCIRT_1d,ema_trend,ema_20_100,"fast=20, slow=100",1.9115954121398286,0.5673655786407401,1.2952603077793567,-0.36234647513336893,8.0,0.18035684106123337,0.030199310230927257,0.7511520737327189
nobitex_BTCIRT_1d,ema_trend,ema_22_110,"fast=22, slow=110",1.537038511160378,0.479184418830924,1.1509376421478372,-0.382654929680189,7.0,0.17767617751525594,0.05144208067849587,0.7649769585253456
nobitex_BTCUSDT_3h,ema_trend,ema_18_90,"fast=18, slow=90",2.285165129222465,0.33076978620268127,1.0618340030981157,-0.3261204954236452,78.0,0.02027376540994706,-0.014930398379257692,0.5181833141352641
nobitex_BTCUSDT_3h,ema_trend,ema_20_100,"fast=20, slow=100",1.5829061016307535,0.2560564163875625,0.8767415616393871,-0.40027299084986645,68.0,0.01960839755478284,-0.015794953500649078,0.5190060885305249
nobitex_BTCUSDT_3h,ema_trend,ema_22_110,"fast=22, slow=110",1.4088527145042198,0.2351791692168188,0.8241297123804308,-0.39808057840141986,57.0,0.021933657068826287,-0.020201109861620825,0.5168668751028468
binance_BTCUSDT_1d,donchian_breakout,donchian_50,window=50,0.2472158745241093,0.053187238218756816,0.32193592222831213,-0.39458103287452795,9.0,0.05631534396751684,0.008634909345094366,0.46593830334190234
binance_BTCUSDT_1d,donchian_breakout,donchian_55,window=55,0.8802422601121016,0.1596419925520416,0.622429066980202,-0.4282725579350035,7.0,0.13449723366765073,0.06968631027809025,0.4987146529562982
binance_BTCUSDT_1d,donchian_breakout,donchian_60,window=60,1.1950830773023124,0.2025306227271777,0.7432224067749653,-0.41951077185315955,6.0,0.18066644355276,0.15627681887094946,0.4620822622107969
nobitex_BTCUSDT_3h,donchian_breakout,donchian_50,window=50,1.4187794643856306,0.23640015794903624,0.8271392162505598,-0.3741027148482954,55.0,0.02389199144028982,-0.02862097923610618,0.5244363995392464
nobitex_BTCUSDT_3h,donchian_breakout,donchian_55,window=55,1.2459361531158462,0.2145720146515202,0.7702800378640197,-0.4315352968080697,50.0,0.024085910798186935,-0.020334920074944363,0.5221326312325161
nobitex_BTCUSDT_3h,donchian_breakout,donchian_60,window=60,0.82770514112778,0.1559072318874546,0.6075124867563714,-0.5116300010528554,46.0,0.022365993841494146,-0.028982182403683387,0.5338160276452196
nobitex_BTCUSDT_1d,ema_trend,ema_18_90,"fast=18, slow=90",4.532137900079769,0.1754692565502456,0.6358556286141634,-0.6127377759361434,22.0,0.17440426817712168,-0.028814816348635586,0.559295701708959
nobitex_BTCUSDT_1d,ema_trend,ema_20_100,"fast=20, slow=100",3.9276753645836138,0.1626848957605176,0.6052145909921911,-0.6452473956744293,21.0,0.19049445331887627,-0.03289708728813656,0.5611082340756085
nobitex_BTCUSDT_1d,ema_trend,ema_22_110,"fast=22, slow=110",3.27465162190813,0.14716745185020907,0.5665902798046278,-0.6479014759216235,19.0,0.1892084047996494,-0.034458472475317414,0.5618850336613154
nobitex_BTCUSDT_1d,donchian_breakout,donchian_50,window=50,4.878190295861144,0.18222922390311402,0.6702742765819739,-0.5856767709539978,18.0,0.24569030783650792,-0.026908459606546642,0.5916623511134127
nobitex_BTCUSDT_1d,donchian_breakout,donchian_55,window=55,3.161624508118382,0.14426579926933636,0.5726303925733148,-0.6443288093331413,18.0,0.20135971004380165,-0.026908459606546642,0.5828586224754013
nobitex_BTCUSDT_1d,donchian_breakout,donchian_60,window=60,2.725628805748964,0.1323597518609272,0.5397395900185663,-0.699891809294872,17.0,0.20473876977649552,-0.02423438072387485,0.5709476954945624
binance_BTCUSDT_1d,rsi_mean_reversion,rsi_12,"window=12, entry=30, exit=50",-0.4002228937374894,-0.11300373379153694,-0.23788400733496526,-0.5657663725040736,35.0,-0.008883869273474957,0.0054119035800266335,0.2769922879177378
binance_BTCUSDT_1d,rsi_mean_reversion,rsi_14,"window=14, entry=30, exit=50",0.33216442214101827,0.0695922740443431,0.38612309301084735,-0.34709957266280145,31.0,0.01175151332034056,0.01953448385316614,0.22557840616966582
binance_BTCUSDT_1d,rsi_mean_reversion,rsi_16,"window=16, entry=30, exit=50",-0.21563065180773133,-0.05538011220309358,-0.08450545190492516,-0.40785670753180403,23.0,-0.005717194457622411,0.010010372518226118,0.19922879177377892
nobitex_BTCUSDT_1d,atr_breakout,atr_18_1.4,"window=18, atr_multiple=1.4",3.480163720702504,0.15226981825623476,0.7000261754500168,-0.49149776776439924,66.0,0.030636230545157798,-0.011345082420422314,0.27239772138788193
nobitex_BTCUSDT_1d,atr_breakout,atr_20_1.5,"window=20, atr_multiple=1.5",2.7147184733105254,0.13204593236757445,0.6158014694766148,-0.5233282152836755,61.0,0.029789053116316917,-0.016181799463234614,0.27550491973070945
nobitex_BTCUSDT_1d,atr_breakout,atr_22_1.6,"window=22, atr_multiple=1.6",2.6450273158952515,0.1300214506402544,0.6252295924957788,-0.5417446895609659,57.0,0.031164839749181966,-0.008369824259340963,0.2775763852925945
nobitex_BTCUSDT_1h,ema_trend,ema_18_90,"fast=18, slow=90",3.390317124206179,0.15013694680315703,0.547819972948982,-0.6246163638135513,761.0,0.002942336687568464,-0.00541012127179441,0.5257698576316556
nobitex_BTCUSDT_1h,ema_trend,ema_20_100,"fast=20, slow=100",2.614207345488884,0.12917563193000148,0.5026878389626837,-0.6869376865495915,678.0,0.0030476635713862594,-0.00627376311185468,0.5247768411281531
nobitex_BTCUSDT_1h,ema_trend,ema_22_110,"fast=22, slow=110",2.3857937367583566,0.12222694727236738,0.48751789257200545,-0.6570397986206447,605.0,0.003531587022876204,-0.006352586805476235,0.5249279523352078
binance_BTCUSDT_4h,donchian_breakout,donchian_50,window=50,0.8407536979294723,0.15390018343757417,0.6070473667953574,-0.4587059500524171,40.0,0.02574384125729372,-0.03288515928677627,0.5177289769683985
binance_BTCUSDT_4h,donchian_breakout,donchian_55,window=55,0.5464207265519563,0.10768545238177385,0.4799123169454048,-0.4456217897998539,37.0,0.0223302573549435,-0.030654680057651706,0.5031601499732191
binance_BTCUSDT_4h,donchian_breakout,donchian_60,window=60,0.7372888984344972,0.1383458088166707,0.5636585612634102,-0.3644523069668759,35.0,0.026313742604173972,-0.030654680057651706,0.5033743974290306
nobitex_BTCIRT_1d,rsi_mean_reversion,rsi_12,"window=12, entry=30, exit=50",-0.017557921073757865,-0.00742113942137812,0.0648995711358593,-0.21047567855189464,16.0,0.0005308034862477468,0.011458173364547353,0.195852534562212
nobitex_BTCIRT_1d,rsi_mean_reversion,rsi_14,"window=14, entry=30, exit=50",0.26747328870240916,0.10480716857474004,0.6401818380853556,-0.17393505986000135,12.0,0.0211183364185675,0.023735501273410176,0.17626728110599077
nobitex_BTCIRT_1d,rsi_mean_reversion,rsi_16,"window=16, entry=30, exit=50",0.3200638823235924,0.12385688245384885,0.7431845920806912,-0.1459883041261184,11.0,0.026706520190760606,0.003260600592394969,0.15092165898617513
binance_BTCUSDT_4h,ema_trend,ema_18_90,"fast=18, slow=90",1.2325759282664999,0.20734191916016043,0.7488088438228039,-0.396742173207857,55.0,0.022312339158558285,-0.02208889530252911,0.5109801821103375
binance_BTCUSDT_4h,ema_trend,ema_20_100,"fast=20, slow=100",0.5359659445263676,0.10592404326469507,0.47550149197548647,-0.4862179895945651,53.0,0.015763185960967065,-0.025988915702508608,0.5050883770755222
binance_BTCUSDT_4h,ema_trend,ema_22_110,"fast=22, slow=110",0.4535874976399399,0.09171394346851525,0.4358157572537395,-0.4747807445142077,55.0,0.014258224297746189,-0.02409531103870588,0.5005891805034816
binance_BTCUSDT_1h,donchian_breakout,donchian_50,window=50,0.4081145370865773,0.08361102673424514,0.40689083088884076,-0.41968684579925286,169.0,0.0036805878092462056,-0.016140377297805153,0.531537081179527
binance_BTCUSDT_1h,donchian_breakout,donchian_55,window=55,0.5293942290018685,0.10482099448792437,0.46540966754377805,-0.4928433481801189,159.0,0.0046289341726361176,-0.016140377297805153,0.5193775611323888
binance_BTCUSDT_1h,donchian_breakout,donchian_60,window=60,0.8612091639150778,0.15690925540816147,0.5977546401071393,-0.5466102269824467,143.0,0.006772573256036622,-0.016553290086760986,0.5368936979403809
binance_BTCUSDT_1d,atr_breakout,atr_18_1.4,"window=18, atr_multiple=1.4",0.21606123981127734,0.046956155793281384,0.3047171753680146,-0.46509322881355,37.0,0.013824815403713234,-0.0325609596436055,0.32390745501285345
binance_BTCUSDT_1d,atr_breakout,atr_20_1.5,"window=20, atr_multiple=1.5",0.3792552666496023,0.07834383724209038,0.4129379447474521,-0.4525349141094207,34.0,0.018538226594511698,-0.030814353661547333,0.32840616966580977
binance_BTCUSDT_1d,atr_breakout,atr_22_1.6,"window=22, atr_multiple=1.6",0.32848966080526076,0.06889943584020775,0.3762713474134718,-0.46923839781454235,31.0,0.01840965621955408,-0.029067747679489164,0.34318766066838047
binance_BTCUSDT_1d,bollinger_mean_reversion,bollinger_18,"window=18, z_entry=-2.0, z_exit=0.0",0.19315792457844516,0.042296983826144885,0.2873438237015019,-0.34696702190999507,27.0,0.009302802001900746,0.009021621017942794,0.2185089974293059
binance_BTCUSDT_1d,bollinger_mean_reversion,bollinger_20,"window=20, z_entry=-2.0, z_exit=0.0",0.19412823500951348,0.042495754541193476,0.2879582388039588,-0.34696702190999507,27.0,0.009718178017332895,0.009644560040206418,0.2300771208226221
binance_BTCUSDT_1d,bollinger_mean_reversion,bollinger_22,"window=22, z_entry=-2.0, z_exit=0.0",-0.0051984906350317495,-0.0012218738397479223,0.13678855575049823,-0.3989350091653978,25.0,0.003961484424769051,0.009021621017942794,0.2249357326478149
binance_BTCUSDT_4h,atr_breakout,atr_18_1.4,"window=18, atr_multiple=1.4",0.08882559925895994,0.020165090672630948,0.20729345104064123,-0.4520035212999587,189.0,0.0013716093730377235,-0.008718663827853468,0.29619710765934654
binance_BTCUSDT_4h,atr_breakout,atr_20_1.5,"window=20, atr_multiple=1.5",0.3229859291173449,0.06786652589799269,0.38017201211397095,-0.4194332071916923,170.0,0.002904956008801876,-0.009031596910316964,0.3043385109801821
binance_BTCUSDT_4h,atr_breakout,atr_22_1.6,"window=22, atr_multiple=1.6",0.4196482630490135,0.0856797861404397,0.44099952453176416,-0.35070361912117143,154.0,0.003599465864347317,-0.009031596910316964,0.30391001606855916
nobitex_BTCUSDT_1h,donchian_breakout,donchian_50,window=50,1.137822230863745,0.07448317448107855,0.3799293348903802,-0.7683626596023176,393.0,0.003937756921204946,-0.012319707138776614,0.5398555808606863
nobitex_BTCUSDT_1h,donchian_breakout,donchian_55,window=55,0.9448590642567414,0.06491532851406623,0.3577648678443814,-0.8050446038698109,365.0,0.0040355628513632355,-0.013121879251154822,0.5410860578324177
nobitex_BTCUSDT_1h,donchian_breakout,donchian_60,window=60,2.1390091434647234,0.11422513500717013,0.4694454316732678,-0.7649583482806622,338.0,0.0057290563493259065,-0.012337510880231939,0.5424892333264973
